points,pass_atts,pass_cmps,pass_yds,pass_tds,pass_ints,pass_2pts,rush_atts,rush_yds,rush_tds,rush_2pts,recs,rec_yds,rec_tds,rec_2pts,fumbles_lost,is_QB,is_RB,is_WR,is_TE,prev_points
380.00,583,400,"4,659",37,11,1,23,6,0,0,0,0,0,0,2,1,0,0,0,522.00
424.00,670,422,"5,177",43,19,0,15,5,1,0,0,0,0,0,1,1,0,0,0,428.00
297.00,528,329,"3,669",27,16,0,47,120,4,0,0,0,0,0,4,1,0,0,0,346.00
259.00,527,338,"3,606",26,15,0,27,40,0,0,0,0,0,0,7,1,0,0,0,342.00
350.00,485,280,"3,869",19,12,0,127,741,8,0,0,6,0,0,3,1,0,0,0,331.00
308.00,727,435,"4,967",20,17,1,35,126,4,0,1,3,0,0,4,1,0,0,0,329.00
315.00,627,339,"4,374",23,18,0,62,255,5,0,0,0,0,0,5,1,0,0,0,327.00
331.00,648,425,"4,903",28,19,1,30,49,1,1,1,-1,0,0,3,1,0,0,0,315.00
314.00,393,252,"3,118",26,10,0,94,489,4,0,0,0,0,0,3,1,0,0,0,313.00
269.00,449,284,"3,265",26,8,1,26,92,0,0,0,0,0,0,3,1,0,0,0,310.00
97.00,265,161,"1,699",6,5,0,11,42,1,0,0,0,0,0,3,1,0,0,0,307.00
186.00,218,136,"1,814",10,3,0,63,415,5,0,0,0,0,0,2,1,0,0,0,299.00
357.00,615,422,"4,719",32,14,0,34,141,1,0,0,0,0,0,2,1,0,0,0,295.00
397.00,637,401,"4,827",34,8,0,23,32,4,0,0,0,0,0,0,1,0,0,0,294.00
142.00,218,153,"1,737",13,5,0,31,132,0,0,0,0,0,0,1,1,0,0,0,288.00
199.00,484,282,"3,294",12,13,2,49,211,2,0,0,0,0,0,4,1,0,0,0,278.00
263.00,565,345,"4,018",22,14,2,18,36,1,0,0,0,0,0,5,1,0,0,0,260.00
345.00,393,258,"3,200",20,5,0,120,815,7,0,0,0,0,0,2,1,0,0,0,236.00
275.00,531,317,"3,817",22,10,1,32,22,3,0,0,0,0,0,4,1,0,0,0,234.00
275.00,531,317,"3,817",22,10,1,32,22,3,0,0,0,0,0,4,1,0,0,0,234.00
214.00,434,255,"3,033",19,14,0,41,233,0,0,0,0,0,0,4,1,0,0,0,201.00
277.00,536,321,"3,948",26,15,0,20,30,0,0,0,0,0,0,1,1,0,0,0,200.00
412.00,552,371,"4,295",39,8,1,54,259,2,0,1,-1,0,0,4,1,0,0,0,196.00
412.00,552,371,"4,295",39,8,1,54,259,2,0,1,-1,0,0,4,1,0,0,0,196.00
255.00,505,306,"3,400",24,16,0,48,197,1,0,0,0,0,0,6,1,0,0,0,189.00
130.00,308,166,"2,084",11,11,0,19,64,1,0,1,-6,0,0,2,1,0,0,0,178.00
130.00,308,166,"2,084",11,11,0,19,64,1,0,1,-6,0,0,2,1,0,0,0,178.00
130.00,308,166,"2,084",11,11,0,19,64,1,0,1,-6,0,0,2,1,0,0,0,178.00
263.00,551,328,"3,702",21,13,4,37,127,1,0,0,0,0,0,1,1,0,0,0,143.00
18.00,51,32,265,2,2,0,7,28,0,0,0,0,0,0,0,1,0,0,0,131.00
91.00,277,161,"1,796",6,12,0,27,145,1,0,0,0,0,0,7,1,0,0,0,122.00
263.00,544,350,"4,008",22,12,0,21,-9,0,0,1,-6,0,0,0,1,0,0,0,118.00
222.00,483,300,"2,935",18,12,1,60,253,2,0,1,-15,0,0,5,1,0,0,0,118.00
222.00,483,300,"2,935",18,12,1,60,253,2,0,1,-15,0,0,5,1,0,0,0,118.00
169.00,351,204,"2,362",12,10,0,62,332,1,0,0,0,0,0,5,1,0,0,0,109.00
148.00,314,177,"2,176",10,11,0,41,291,1,0,0,0,0,0,4,1,0,0,0,109.00
183.00,517,297,"3,385",14,17,0,27,111,0,0,0,-9,0,0,1,1,0,0,0,104.00
-1.00,3,1,39,0,1,0,2,5,0,0,0,0,0,0,0,1,0,0,0,99.00
-1.00,3,1,39,0,1,0,2,5,0,0,0,0,0,0,0,1,0,0,0,99.00
2.00,9,5,68,0,0,0,4,-5,0,0,0,0,0,0,0,1,0,0,0,88.00
12.00,32,22,204,1,1,0,1,3,0,0,0,0,0,0,0,1,0,0,0,65.00
15.00,53,30,330,1,2,0,1,6,0,0,0,0,0,0,0,1,0,0,0,48.00
40.00,48,33,466,4,3,0,3,22,0,1,0,0,0,0,0,1,0,0,0,40.00
40.00,48,33,466,4,3,0,3,22,0,1,0,0,0,0,0,1,0,0,0,40.00
289.00,558,306,"4,065",27,17,1,39,139,0,0,0,0,0,0,2,1,0,0,0,33.00
11.00,10,9,89,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,23.00
1.00,1,1,10,0,0,0,3,17,0,0,0,0,0,0,0,1,0,0,0,18.00
1.00,1,1,10,0,0,0,3,17,0,0,0,0,0,0,0,1,0,0,0,18.00
1.00,1,1,10,0,0,0,3,17,0,0,0,0,0,0,0,1,0,0,0,18.00
108.00,278,162,"1,662",9,6,2,18,56,0,0,0,0,0,0,3,1,0,0,0,12.00
108.00,278,162,"1,662",9,6,2,18,56,0,0,0,0,0,0,3,1,0,0,0,12.00
0.00,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,1,0,0,0,7.00
0.00,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,1,0,0,0,7.00
16.00,29,17,179,0,1,0,14,73,1,0,0,0,0,0,0,1,0,0,0,3.00
0.00,4,2,12,0,0,0,8,-13,0,0,0,0,0,0,0,1,0,0,0,3.00
0.00,4,2,12,0,0,0,8,-13,0,0,0,0,0,0,0,1,0,0,0,3.00
88.00,221,138,"1,367",7,5,1,13,38,0,0,0,0,0,0,1,1,0,0,0,2.00
88.00,221,138,"1,367",7,5,1,13,38,0,0,0,0,0,0,1,1,0,0,0,2.00
-1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1.00
-1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1.00
10.00,17,9,79,1,0,0,4,15,0,0,0,0,0,0,0,1,0,0,0,0.00
0.00,0,0,0,0,0,0,2,-3,0,0,0,0,0,0,0,1,0,0,0,0.00
18.00,13,10,172,2,0,0,1,-1,0,0,0,0,0,0,0,1,0,0,0,0.00
1.00,4,4,58,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.00
3.00,10,4,38,0,1,0,2,-1,1,0,0,0,0,0,1,1,0,0,0,-1.00
11.00,19,11,131,1,0,0,5,-3,0,0,0,0,0,0,0,1,0,0,0,-2.00
11.00,19,11,131,1,0,0,5,-3,0,0,0,0,0,0,0,1,0,0,0,-2.00
327.00,570,343,"3,822",23,9,4,63,377,4,0,0,0,0,0,2,1,0,0,0,422.00
196.00,290,193,"2,536",17,6,0,30,120,0,0,0,0,0,0,0,1,0,0,0,420.00
522.00,659,450,"5,477",55,10,0,32,-31,1,0,0,0,0,0,6,1,0,0,0,387.00
310.00,584,375,"4,261",28,14,0,27,99,1,0,0,5,0,0,6,1,0,0,0,364.00
428.00,650,446,"5,162",39,12,0,35,52,3,0,0,0,0,0,2,1,0,0,0,360.00
313.00,407,257,"3,357",26,9,0,96,539,1,0,0,0,0,0,5,1,0,0,0,353.00
294.00,628,380,"4,343",25,11,2,32,18,0,0,0,0,0,0,3,1,0,0,0,336.00
315.00,535,342,"3,828",31,10,1,20,38,0,0,0,0,0,0,1,1,0,0,0,329.00
200.00,551,317,"3,818",18,27,0,18,36,0,0,0,0,0,0,2,1,0,0,0,327.00
295.00,651,439,"4,515",26,17,0,17,55,0,0,0,0,0,0,4,1,0,0,0,326.00
278.00,588,355,"3,913",24,17,0,40,238,1,0,0,0,0,0,5,1,0,0,0,323.00
342.00,544,378,"4,478",32,11,0,28,72,0,0,0,-9,0,0,2,1,0,0,0,318.00
201.00,355,224,"2,621",19,12,3,23,118,0,0,0,0,0,0,3,1,0,0,0,306.00
234.00,614,362,"3,912",19,22,2,27,131,1,0,0,0,0,0,2,1,0,0,0,303.00
329.00,634,371,"4,650",29,19,2,37,69,2,0,0,0,0,0,4,1,0,0,0,284.00
331.00,473,292,"3,379",24,13,0,111,585,6,0,0,0,0,0,1,1,0,0,0,278.00
299.00,416,243,"3,197",21,8,0,92,524,4,0,0,0,0,0,4,1,0,0,0,277.00
346.00,586,363,"4,293",33,20,0,61,183,2,0,0,0,0,0,3,1,0,0,0,251.00
288.00,508,308,"3,313",23,7,0,76,431,1,0,1,-4,0,0,3,1,0,0,0,242.00
288.00,508,308,"3,313",23,7,0,76,431,1,0,1,-4,0,0,3,1,0,0,0,242.00
23.00,51,33,398,2,2,0,1,8,0,0,0,0,0,0,0,1,0,0,0,210.00
189.00,350,217,"2,454",14,12,0,43,225,3,0,1,0,0,0,2,1,0,0,0,206.00
189.00,350,217,"2,454",14,12,0,43,225,3,0,1,0,0,0,2,1,0,0,0,206.00
189.00,350,217,"2,454",14,12,0,43,225,3,0,1,0,0,0,2,1,0,0,0,206.00
48.00,96,57,615,5,3,0,6,16,0,0,0,0,0,0,0,1,0,0,0,173.00
208.00,443,247,"3,046",12,21,0,72,366,6,0,1,13,0,0,4,1,0,0,0,168.00
208.00,443,247,"3,046",12,21,0,72,366,6,0,1,13,0,0,4,1,0,0,0,168.00
158.00,224,149,"1,829",13,1,1,13,69,1,0,0,0,0,0,1,1,0,0,0,144.00
307.00,317,203,"2,891",27,2,2,57,221,3,0,0,0,0,0,2,1,0,0,0,142.00
307.00,317,203,"2,891",27,2,2,57,221,3,0,0,0,0,0,2,1,0,0,0,142.00
260.00,572,362,"4,274",24,22,0,27,3,0,0,0,0,0,0,3,1,0,0,0,124.00
40.00,155,81,854,4,7,0,4,14,0,0,0,0,0,0,2,1,0,0,0,108.00
194.00,416,247,"2,608",19,9,0,27,37,0,0,0,0,0,0,4,1,0,0,0,104.00
0.00,0,0,0,0,0,0,2,-2,0,0,0,0,0,0,0,1,0,0,0,103.00
0.00,0,0,0,0,0,0,2,-2,0,0,0,0,0,0,0,1,0,0,0,103.00
0.00,0,0,0,0,0,0,6,-5,0,0,0,0,0,0,0,1,0,0,0,96.00
236.00,456,274,"3,203",16,12,1,86,489,0,1,0,0,0,0,4,1,0,0,0,93.00
236.00,456,274,"3,203",16,12,1,86,489,0,1,0,0,0,0,4,1,0,0,0,93.00
109.00,183,111,"1,256",8,4,0,24,155,2,0,0,0,0,0,1,1,0,0,0,69.00
0.00,1,1,13,0,0,0,6,-6,0,0,0,0,0,0,0,1,0,0,0,67.00
149.00,306,180,"1,972",11,9,2,53,186,2,0,0,0,0,0,3,1,0,0,0,65.00
0.00,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,58.00
109.00,141,77,"1,215",5,3,0,36,306,2,0,0,-2,0,0,2,1,0,0,0,45.00
178.00,503,305,"3,241",13,14,0,27,77,0,0,0,0,0,0,0,1,0,0,0,34.00
122.00,254,153,"1,807",11,9,0,18,57,1,0,0,0,0,0,1,1,0,0,0,27.00
117.00,253,137,"1,760",9,6,0,14,72,1,0,0,0,0,0,2,1,0,0,0,26.00
