points,pass_atts,pass_cmps,pass_yds,pass_tds,pass_ints,pass_2pts,rush_atts,rush_yds,rush_tds,rush_2pts,recs,rec_yds,rec_tds,rec_2pts,fumbles_lost,is_QB,is_RB,is_WR,is_TE,prev_points
230.00,0,0,0,0,0,0,285,"1,509",5,0,35,236,1,0,3,0,1,0,0,367.00
212.00,0,0,0,0,0,0,248,"1,094",5,0,44,340,1,0,1,0,1,0,0,327.00
192.00,0,0,0,0,0,0,200,840,2,0,54,373,3,0,3,0,1,0,0,315.00
105.00,0,0,0,0,0,0,138,525,4,0,21,167,0,0,1,0,1,0,0,280.00
259.00,0,0,0,0,0,0,315,"1,590",11,0,23,196,1,0,2,0,1,0,0,261.00
141.00,0,0,0,0,0,0,161,663,4,0,35,251,0,0,2,0,1,0,0,243.00
141.00,0,0,0,0,0,0,161,663,4,0,35,251,0,0,2,0,1,0,0,243.00
202.00,0,0,0,0,0,0,276,"1,243",6,0,36,232,0,0,4,0,1,0,0,233.00
196.00,0,0,0,0,0,0,227,986,6,0,35,292,2,0,2,0,1,0,0,232.00
339.00,0,0,0,0,0,0,348,"2,097",12,1,40,217,1,0,2,0,1,0,0,226.00
111.00,0,0,0,0,0,0,115,437,3,0,34,217,1,0,4,0,1,0,0,221.00
142.00,0,0,0,0,0,0,76,301,4,0,40,446,3,0,0,0,1,0,0,210.00
145.00,0,0,0,0,0,0,82,414,3,0,52,485,0,0,2,0,1,0,0,207.00
145.00,0,0,0,0,0,0,82,414,3,0,52,485,0,0,2,0,1,0,0,207.00
145.00,0,0,0,0,0,0,82,414,3,0,52,485,0,0,2,0,1,0,0,207.00
128.00,0,0,0,0,0,0,184,707,1,0,39,252,0,0,2,0,1,0,0,202.00
124.00,0,0,0,0,0,0,105,473,1,0,39,354,1,0,0,0,1,0,0,196.00
219.00,0,0,0,0,0,0,258,"1,214",8,0,28,234,1,0,1,0,1,0,0,185.00
70.00,0,0,0,0,0,0,86,414,1,0,14,86,1,0,0,0,1,0,0,178.00
70.00,0,0,0,0,0,0,86,414,1,0,14,86,1,0,0,0,1,0,0,178.00
244.00,0,0,0,0,0,0,335,"1,613",13,0,11,77,0,0,3,0,1,0,0,173.00
268.00,0,0,0,0,0,0,257,"1,143",9,0,61,478,1,0,0,0,1,0,0,167.00
206.00,0,0,0,0,0,0,48,244,1,1,75,667,7,0,0,0,1,0,0,163.00
67.00,0,0,0,0,0,0,101,283,2,0,19,130,0,1,1,0,1,0,0,163.00
134.00,0,0,0,0,0,0,173,737,5,0,13,187,2,0,2,0,1,0,0,156.00
134.00,0,0,0,0,0,0,173,737,5,0,13,187,2,0,2,0,1,0,0,156.00
245.00,0,0,0,0,0,0,207,"1,244",6,0,43,459,2,0,3,0,1,0,0,144.00
61.00,0,0,0,0,0,0,108,417,1,1,9,93,0,0,0,0,1,0,0,141.00
188.00,0,0,0,0,0,0,257,"1,042",4,0,38,321,0,1,0,0,1,0,0,138.00
48.00,0,0,0,0,0,0,65,279,2,0,11,49,0,0,1,0,1,0,0,136.00
34.00,0,0,0,0,0,0,51,182,0,0,9,62,1,0,1,0,1,0,0,136.00
239.00,0,0,0,0,0,0,267,950,11,0,51,367,1,0,0,0,1,0,0,135.00
132.00,0,0,0,0,0,0,94,362,1,0,53,402,1,0,0,0,1,0,0,129.00
66.00,0,0,0,0,0,0,62,251,3,0,8,149,1,0,1,0,1,0,0,127.00
89.00,0,0,0,0,0,0,110,437,4,0,17,140,0,0,0,0,1,0,0,125.00
199.00,0,0,0,0,0,0,290,"1,263",12,0,6,51,0,0,2,0,1,0,0,122.00
23.00,0,0,0,0,0,0,41,151,2,0,1,2,0,0,0,0,1,0,0,114.00
164.00,0,0,0,0,0,0,278,"1,094",6,0,22,104,0,0,2,0,1,0,0,113.00
36.00,0,0,0,0,0,0,51,250,1,0,6,45,0,0,0,0,1,0,0,112.00
98.00,0,0,0,0,0,0,12,70,0,0,52,452,1,0,2,0,1,0,0,111.00
101.00,0,0,0,0,0,0,54,183,7,0,27,268,0,0,0,0,1,0,0,110.00
38.00,0,0,0,0,0,0,8,30,0,0,24,187,0,0,1,0,1,0,0,104.00
38.00,0,0,0,0,0,0,8,30,0,0,24,187,0,0,1,0,1,0,0,104.00
290.00,0,0,0,0,0,0,351,"1,424",15,0,40,217,2,0,2,0,1,0,0,103.00
290.00,0,0,0,0,0,0,351,"1,424",15,0,40,217,2,0,2,0,1,0,0,103.00
34.00,0,0,0,0,0,0,40,217,2,0,2,15,0,0,0,0,1,0,0,96.00
34.00,0,0,0,0,0,0,40,217,2,0,2,15,0,0,0,0,1,0,0,96.00
145.00,0,0,0,0,0,0,216,707,2,0,42,258,1,0,2,0,1,0,0,91.00
