points,pass_atts,pass_cmps,pass_yds,pass_tds,pass_ints,pass_2pts,rush_atts,rush_yds,rush_tds,rush_2pts,recs,rec_yds,rec_tds,rec_2pts,fumbles_lost,is_QB,is_RB,is_WR,is_TE,prev_points
229.00,0,0,0,0,0,0,0,0,0,0,85,982,9,0,0,0,0,0,1,297.00
228.00,0,0,0,0,0,0,0,0,0,0,93,930,8,0,0,0,0,0,1,212.00
228.00,0,0,0,0,0,0,0,0,0,0,93,930,8,0,0,0,0,0,1,212.00
120.00,0,0,0,0,0,0,0,0,0,0,41,548,5,0,0,0,0,0,1,209.00
45.00,0,0,0,0,0,0,0,0,0,0,20,226,1,0,0,0,0,0,1,207.00
225.00,0,0,0,0,0,0,0,0,0,0,110,"1,039",3,0,0,0,0,0,1,200.00
176.00,0,0,0,0,0,0,0,0,0,0,69,843,5,0,0,0,0,0,1,183.00
47.00,0,0,0,0,0,0,0,0,0,0,18,212,2,0,0,0,0,0,1,182.00
138.00,0,0,0,0,0,0,0,0,0,0,49,538,7,0,0,0,0,0,1,181.00
141.00,0,0,0,0,0,0,0,0,0,0,55,626,5,0,0,0,0,0,1,162.00
68.00,0,0,0,0,0,0,0,0,0,0,21,344,3,0,1,0,0,0,1,147.00
113.00,0,0,0,0,0,0,0,0,0,0,44,523,4,0,1,0,0,0,1,140.00
62.00,0,0,0,0,0,0,0,0,0,0,26,281,2,0,0,0,0,0,1,133.00
67.00,0,0,0,0,0,0,0,0,0,0,28,263,3,0,0,0,0,0,1,126.00
130.00,0,0,0,0,0,0,0,0,0,0,43,571,6,0,1,0,0,0,1,122.00
195.00,0,0,0,0,0,0,0,0,0,0,55,790,11,0,1,0,0,0,1,119.00
176.00,0,0,0,0,0,0,0,0,0,0,79,806,4,0,0,0,0,0,1,117.00
196.00,0,0,0,0,0,0,0,0,0,0,71,816,8,1,0,0,0,0,1,115.00
196.00,0,0,0,0,0,0,0,0,0,0,71,816,8,1,0,0,0,0,1,115.00
123.00,0,0,0,0,0,0,0,0,0,0,57,684,1,0,1,0,0,0,1,108.00
159.00,0,0,0,0,0,0,0,0,0,0,64,737,5,0,1,0,0,0,1,107.00
