points,pass_atts,pass_cmps,pass_yds,pass_tds,pass_ints,pass_2pts,rush_atts,rush_yds,rush_tds,rush_2pts,recs,rec_yds,rec_tds,rec_2pts,fumbles_lost,is_QB,is_RB,is_WR,is_TE,prev_points
288.00,0,0,0,0,0,0,0,0,0,0,94,"1,434",10,0,3,0,0,1,0,312.00
151.00,0,0,0,0,0,0,0,0,0,0,50,805,5,0,1,0,0,1,0,308.00
292.00,0,0,0,0,0,0,4,38,0,0,97,"1,350",11,0,1,0,0,1,0,301.00
164.00,2,0,0,0,1,0,7,24,0,0,66,787,5,0,2,0,0,1,0,301.00
328.00,0,0,0,0,0,0,1,-2,0,0,118,"1,508",11,0,0,0,0,1,0,298.00
339.00,0,0,0,0,0,0,0,0,0,0,122,"1,964",5,0,3,0,0,1,0,297.00
295.00,0,0,0,0,0,0,2,-5,0,0,92,"1,382",12,1,2,0,0,1,0,288.00
75.00,0,0,0,0,0,0,0,0,0,0,24,367,3,0,0,0,0,1,0,276.00
261.00,0,0,0,0,0,0,0,0,0,0,85,"1,064",13,0,0,0,0,1,0,275.00
288.00,0,0,0,0,0,0,0,0,0,0,112,"1,598",4,0,0,0,0,1,0,270.00
132.00,0,0,0,0,0,0,2,9,0,0,44,633,4,0,0,0,0,1,0,268.00
121.00,0,0,0,0,0,0,3,-7,0,0,45,700,2,0,0,0,0,1,0,264.00
163.00,0,0,0,0,0,0,0,0,0,0,49,745,7,1,0,0,0,1,0,258.00
61.00,0,0,0,0,0,0,4,45,0,0,21,235,3,0,1,0,0,1,0,242.00
176.00,0,0,0,0,0,0,1,3,0,0,65,921,4,1,0,0,0,1,0,238.00
253.00,0,0,0,0,0,0,0,0,0,0,72,"1,384",8,1,0,0,0,1,0,234.00
170.00,0,0,0,0,0,0,0,0,0,0,71,798,4,0,0,0,0,1,0,229.00
177.00,1,0,0,0,0,0,5,29,0,0,50,861,7,0,0,0,0,1,0,214.00
177.00,1,0,0,0,0,0,5,29,0,0,50,861,7,0,0,0,0,1,0,214.00
142.00,0,0,0,0,0,0,1,4,0,0,64,626,4,0,1,0,0,1,0,207.00
282.00,0,0,0,0,0,0,2,20,0,0,118,"1,354",6,0,1,0,0,1,0,204.00
176.00,0,0,0,0,0,0,3,9,0,0,49,855,8,0,0,0,0,1,0,197.00
180.00,0,0,0,0,0,0,0,0,0,0,74,"1,083",1,0,1,0,0,1,0,193.00
105.00,0,0,0,0,0,0,0,0,0,0,45,562,2,0,1,0,0,1,0,193.00
77.00,0,0,0,0,0,0,2,4,0,0,38,395,1,0,0,0,0,1,0,193.00
251.00,0,0,0,0,0,0,0,0,0,0,83,"1,154",10,0,2,0,0,1,0,193.00
188.00,0,0,0,0,0,0,5,7,0,0,64,836,8,0,1,0,0,1,0,190.00
248.00,0,0,0,0,0,0,0,0,0,0,86,"1,092",10,0,0,0,0,1,0,189.00
248.00,0,0,0,0,0,0,0,0,0,0,86,"1,092",10,0,0,0,0,1,0,189.00
155.00,1,1,23,1,0,0,3,20,0,0,45,688,7,0,1,0,0,1,0,177.00
62.00,0,0,0,0,0,0,0,0,0,0,23,248,3,0,0,0,0,1,0,175.00
106.00,0,0,0,0,0,0,1,4,0,0,44,626,1,0,2,0,0,1,0,172.00
110.00,0,0,0,0,0,0,0,0,0,0,39,584,3,1,1,0,0,1,0,165.00
93.00,0,0,0,0,0,0,0,0,0,0,36,366,4,0,0,0,0,1,0,165.00
138.00,0,0,0,0,0,0,0,0,0,0,46,746,4,0,0,0,0,1,0,162.00
188.00,0,0,0,0,0,0,1,-4,0,0,55,979,7,0,1,0,0,1,0,159.00
188.00,0,0,0,0,0,0,1,-4,0,0,55,979,7,0,1,0,0,1,0,159.00
209.00,0,0,0,0,0,0,3,27,0,0,73,"1,174",4,0,1,0,0,1,0,158.00
209.00,0,0,0,0,0,0,3,27,0,0,73,"1,174",4,0,1,0,0,1,0,158.00
222.00,0,0,0,0,0,0,0,0,0,0,64,784,14,0,0,0,0,1,0,151.00
76.00,0,0,0,0,0,0,0,0,0,0,29,366,3,0,0,0,0,1,0,151.00
76.00,0,0,0,0,0,0,0,0,0,0,29,366,3,0,0,0,0,1,0,151.00
151.00,0,0,0,0,0,0,0,0,0,0,59,801,3,0,1,0,0,1,0,147.00
261.00,0,0,0,0,0,0,0,0,0,0,92,"1,351",7,0,0,0,0,1,0,146.00
261.00,0,0,0,0,0,0,0,0,0,0,92,"1,351",7,0,0,0,0,1,0,146.00
261.00,0,0,0,0,0,0,0,0,0,0,92,"1,351",7,0,0,0,0,1,0,146.00
135.00,0,0,0,0,0,0,0,0,0,0,53,692,3,0,0,0,0,1,0,141.00
161.00,0,0,0,0,0,0,1,-5,0,0,51,741,7,0,0,0,0,1,0,141.00
161.00,0,0,0,0,0,0,1,-5,0,0,51,741,7,0,0,0,0,1,0,141.00
161.00,0,0,0,0,0,0,1,-5,0,0,51,741,7,0,0,0,0,1,0,141.00
132.00,0,0,0,0,0,0,3,35,0,0,44,677,4,0,0,0,0,1,0,135.00
132.00,0,0,0,0,0,0,3,35,0,0,44,677,4,0,0,0,0,1,0,135.00
132.00,0,0,0,0,0,0,3,35,0,0,44,677,4,0,0,0,0,1,0,135.00
63.00,0,0,0,0,0,0,0,0,0,0,19,298,3,0,0,0,0,1,0,133.00
211.00,0,0,0,0,0,0,0,0,0,0,79,"1,046",6,0,1,0,0,1,0,126.00
143.00,0,0,0,0,0,0,2,8,0,0,63,666,3,1,2,0,0,1,0,124.00
143.00,0,0,0,0,0,0,2,8,0,0,63,666,3,1,2,0,0,1,0,124.00
143.00,0,0,0,0,0,0,2,8,0,0,63,666,3,1,2,0,0,1,0,124.00
143.00,0,0,0,0,0,0,2,8,0,0,63,666,3,1,2,0,0,1,0,124.00
143.00,0,0,0,0,0,0,2,8,0,0,63,666,3,1,2,0,0,1,0,124.00
143.00,0,0,0,0,0,0,2,8,0,0,63,666,3,1,2,0,0,1,0,124.00
143.00,0,0,0,0,0,0,2,8,0,0,63,666,3,1,2,0,0,1,0,124.00
142.00,1,1,42,0,0,0,5,8,0,0,56,827,2,0,3,0,0,1,0,108.00
252.00,0,0,0,0,0,0,6,30,0,0,79,"1,198",10,0,0,0,0,1,0,107.00
252.00,0,0,0,0,0,0,6,30,0,0,79,"1,198",10,0,0,0,0,1,0,107.00
150.00,0,0,0,0,0,0,4,9,0,0,60,781,3,0,0,0,0,1,0,106.00
126.00,0,0,0,0,0,0,59,271,0,0,52,496,1,0,0,0,0,1,0,102.00
225.00,0,0,0,0,0,0,10,132,0,0,80,954,8,0,1,0,0,1,0,102.00
265.00,0,0,0,0,0,0,1,-5,0,0,106,"1,355",5,0,1,0,0,1,0,99.00
265.00,0,0,0,0,0,0,1,-5,0,0,106,"1,355",5,0,1,0,0,1,0,99.00
60.00,1,1,73,1,0,0,5,15,0,0,16,154,4,0,0,0,0,1,0,98.00
75.00,0,0,0,0,0,0,0,0,0,0,30,261,4,0,0,0,0,1,0,95.00
141.00,0,0,0,0,0,0,3,14,0,0,41,573,8,0,1,0,0,1,0,95.00
164.00,0,0,0,0,0,0,4,29,0,0,64,759,5,0,0,0,0,1,0,94.00
164.00,0,0,0,0,0,0,4,29,0,0,64,759,5,0,0,0,0,1,0,94.00
164.00,0,0,0,0,0,0,4,29,0,0,64,759,5,0,0,0,0,1,0,94.00
134.00,0,0,0,0,0,0,2,15,0,0,53,647,4,0,0,0,0,1,0,91.00
71.00,0,0,0,0,0,0,1,6,0,0,30,406,1,0,0,0,0,1,0,90.00
202.00,0,0,0,0,0,0,0,0,0,0,65,"1,041",6,0,0,0,0,1,0,89.00
202.00,0,0,0,0,0,0,0,0,0,0,65,"1,041",6,0,0,0,0,1,0,89.00
112.00,0,0,0,0,0,0,0,0,0,0,53,648,0,0,0,0,0,1,0,88.00
74.00,0,0,0,0,0,0,1,1,0,0,28,425,2,0,0,0,0,1,0,87.00
64.00,0,0,0,0,0,0,8,48,0,0,27,240,2,1,0,0,0,1,0,87.00
64.00,0,0,0,0,0,0,8,48,0,0,27,240,2,1,0,0,0,1,0,87.00
127.00,0,0,0,0,0,0,3,12,0,0,42,698,3,1,0,0,0,1,0,85.00
77.00,0,0,0,0,0,0,0,0,0,0,29,359,3,0,0,0,0,1,0,84.00
77.00,0,0,0,0,0,0,0,0,0,0,29,359,3,0,0,0,0,1,0,84.00
139.00,0,0,0,0,0,0,0,0,0,0,61,778,1,0,0,0,0,1,0,84.00
62.00,0,0,0,0,0,0,2,11,0,0,22,310,2,0,0,0,0,1,0,83.00
62.00,0,0,0,0,0,0,2,11,0,0,22,310,2,0,0,0,0,1,0,83.00
104.00,0,0,0,0,0,0,2,5,0,0,38,543,3,0,0,0,0,1,0,81.00
104.00,0,0,0,0,0,0,2,5,0,0,38,543,3,0,0,0,0,1,0,81.00
144.00,0,0,0,0,0,0,0,0,0,0,51,691,5,0,0,0,0,1,0,78.00
73.00,0,0,0,0,0,0,0,0,0,0,29,375,2,0,0,0,0,1,0,76.00
176.00,0,0,0,0,0,0,2,23,0,0,64,865,5,1,0,0,0,1,0,75.00
176.00,0,0,0,0,0,0,2,23,0,0,64,865,5,1,0,0,0,1,0,75.00
176.00,0,0,0,0,0,0,2,23,0,0,64,865,5,1,0,0,0,1,0,75.00
176.00,0,0,0,0,0,0,2,23,0,0,64,865,5,1,0,0,0,1,0,75.00
176.00,0,0,0,0,0,0,2,23,0,0,64,865,5,1,0,0,0,1,0,75.00
130.00,0,0,0,0,0,0,2,16,0,0,41,606,5,0,0,0,0,1,0,68.00
301.00,1,1,15,0,0,0,7,4,0,0,110,"1,499",8,0,0,0,0,1,0,378.00
312.00,0,0,0,0,0,0,0,0,0,0,92,"1,430",14,0,0,0,0,1,0,334.00
258.00,0,0,0,0,0,0,0,0,0,0,85,"1,314",8,0,0,0,0,1,0,319.00
288.00,0,0,0,0,0,0,1,1,0,0,93,"1,233",13,0,1,0,0,1,0,309.00
172.00,0,0,0,0,0,0,1,25,0,1,67,740,6,0,0,0,0,1,0,293.00
172.00,0,0,0,0,0,0,1,25,0,1,67,740,6,0,0,0,0,1,0,293.00
107.00,0,0,0,0,0,0,1,7,0,0,41,580,2,0,1,0,0,1,0,288.00
102.00,0,0,0,0,0,0,4,78,0,0,31,433,4,0,0,0,0,1,0,284.00
102.00,0,0,0,0,0,0,4,78,0,0,31,433,4,0,0,0,0,1,0,284.00
214.00,0,0,0,0,0,0,2,6,0,0,82,"1,083",5,0,0,0,0,1,0,255.00
276.00,0,0,0,0,0,0,16,105,0,0,89,"1,421",7,1,1,0,0,1,0,252.00
177.00,0,0,0,0,0,0,3,31,0,0,64,898,5,0,0,0,0,1,0,250.00
177.00,0,0,0,0,0,0,3,31,0,0,64,898,5,0,0,0,0,1,0,250.00
134.00,0,0,0,0,0,0,0,0,0,0,52,802,2,0,1,0,0,1,0,223.00
297.00,0,0,0,0,0,0,0,0,0,0,84,"1,492",12,0,1,0,0,1,0,220.00
297.00,0,0,0,0,0,0,0,0,0,0,84,"1,492",12,0,1,0,0,1,0,220.00
158.00,0,0,0,0,0,0,0,0,0,0,64,745,4,0,0,0,0,1,0,213.00
242.00,0,0,0,0,0,0,2,11,0,0,105,"1,056",6,2,0,0,0,1,0,213.00
238.00,0,0,0,0,0,0,2,11,0,0,85,"1,179",7,0,0,0,0,1,0,213.00
146.00,0,0,0,0,0,0,0,0,0,0,63,711,3,0,1,0,0,1,0,208.00
190.00,0,0,0,0,0,0,3,33,0,0,73,930,5,0,0,0,0,1,0,205.00
135.00,0,0,0,0,0,0,2,15,0,0,49,627,5,0,0,0,0,1,0,205.00
301.00,0,0,0,0,0,0,0,0,0,0,98,"1,426",11,0,0,0,0,1,0,203.00
264.00,0,0,0,0,0,0,3,2,0,0,82,"1,332",9,0,0,0,0,1,0,200.00
264.00,0,0,0,0,0,0,3,2,0,0,82,"1,332",9,0,0,0,0,1,0,200.00
275.00,0,0,0,0,0,0,0,0,0,0,87,"1,288",11,0,1,0,0,1,0,194.00
275.00,0,0,0,0,0,0,0,0,0,0,87,"1,288",11,0,1,0,0,1,0,194.00
197.00,0,0,0,0,0,0,0,0,0,0,65,"1,128",4,1,0,0,0,1,0,186.00
270.00,0,0,0,0,0,0,0,0,0,0,109,"1,407",5,0,0,0,0,1,0,186.00
270.00,0,0,0,0,0,0,0,0,0,0,109,"1,407",5,0,0,0,0,1,0,186.00
152.00,0,0,0,0,0,0,3,21,0,0,47,631,8,0,1,0,0,1,0,176.00
298.00,0,0,0,0,0,0,0,0,0,0,100,"1,295",12,2,0,0,0,1,0,175.00
234.00,0,0,0,0,0,0,1,0,0,0,78,"1,224",7,0,0,0,0,1,0,175.00
133.00,0,0,0,0,0,0,0,0,0,0,41,611,6,0,1,0,0,1,0,174.00
193.00,0,0,0,0,0,0,0,0,0,0,75,943,5,0,0,0,0,1,0,173.00
98.00,1,1,25,0,0,0,4,16,0,0,47,455,2,0,1,0,0,1,0,171.00
214.00,0,0,0,0,0,0,0,0,0,0,71,"1,046",8,0,2,0,0,1,0,170.00
151.00,0,0,0,0,0,0,0,0,0,0,59,817,3,0,1,0,0,1,0,168.00
151.00,0,0,0,0,0,0,0,0,0,0,59,817,3,0,1,0,0,1,0,168.00
120.00,0,0,0,0,0,0,3,10,0,0,32,641,5,0,0,0,0,1,0,167.00
207.00,0,0,0,0,0,0,0,0,0,0,94,"1,079",2,0,0,0,0,1,0,162.00
165.00,0,0,0,0,0,0,0,0,0,0,68,804,4,0,0,0,0,1,0,162.00
151.00,0,0,0,0,0,0,2,6,0,0,50,778,5,0,0,0,0,1,0,160.00
193.00,0,0,0,0,0,0,0,0,0,0,65,"1,041",5,0,0,0,0,1,0,159.00
113.00,0,0,0,0,0,0,2,16,0,0,40,587,3,1,0,0,0,1,0,158.00
113.00,0,0,0,0,0,0,2,16,0,0,40,587,3,1,0,0,0,1,0,158.00
268.00,0,0,0,0,0,0,2,19,0,0,113,"1,346",5,0,1,0,0,1,0,153.00
268.00,0,0,0,0,0,0,2,19,0,0,113,"1,346",5,0,1,0,0,1,0,153.00
229.00,1,0,0,0,0,0,2,8,0,0,82,954,10,0,1,0,0,1,0,148.00
99.00,0,0,0,0,0,0,1,5,0,0,38,503,2,1,0,0,0,1,0,147.00
99.00,0,0,0,0,0,0,1,5,0,0,38,503,2,1,0,0,0,1,0,147.00
99.00,0,0,0,0,0,0,1,5,0,0,38,503,2,1,0,0,0,1,0,147.00
142.00,0,0,0,0,0,0,3,4,0,0,44,736,5,1,2,0,0,1,0,140.00
142.00,0,0,0,0,0,0,3,4,0,0,44,736,5,1,2,0,0,1,0,140.00
71.00,0,0,0,0,0,0,0,0,0,0,25,431,1,0,0,0,0,1,0,133.00
71.00,0,0,0,0,0,0,0,0,0,0,25,431,1,0,0,0,0,1,0,133.00
147.00,0,0,0,0,0,0,0,0,0,0,57,673,5,0,0,0,0,1,0,129.00
147.00,0,0,0,0,0,0,0,0,0,0,57,673,5,0,0,0,0,1,0,129.00
147.00,0,0,0,0,0,0,0,0,0,0,57,673,5,0,0,0,0,1,0,129.00
147.00,0,0,0,0,0,0,0,0,0,0,57,673,5,0,0,0,0,1,0,129.00
175.00,0,0,0,0,0,0,0,18,0,0,47,835,8,2,0,0,0,1,0,120.00
193.00,0,0,0,0,0,0,0,0,0,0,85,"1,067",2,0,2,0,0,1,0,115.00
159.00,0,0,0,0,0,0,0,0,0,0,66,777,3,0,0,0,0,1,0,114.00
83.00,0,0,0,0,0,0,0,0,0,0,26,434,3,0,0,0,0,1,0,113.00
83.00,0,0,0,0,0,0,0,0,0,0,26,434,3,0,0,0,0,1,0,113.00
162.00,0,0,0,0,0,0,0,0,0,0,58,919,3,0,0,0,0,1,0,111.00
162.00,0,0,0,0,0,0,0,0,0,0,58,919,3,0,0,0,0,1,0,111.00
162.00,0,0,0,0,0,0,0,0,0,0,58,919,3,0,0,0,0,1,0,111.00
159.00,0,0,0,0,0,0,1,-5,0,0,46,602,10,0,0,0,0,1,0,107.00
204.00,0,0,0,0,0,0,0,0,0,0,73,778,10,0,1,0,0,1,0,102.00
204.00,0,0,0,0,0,0,0,0,0,0,73,778,10,0,1,0,0,1,0,102.00
204.00,0,0,0,0,0,0,0,0,0,0,73,778,10,0,1,0,0,1,0,102.00
141.00,0,0,0,0,0,0,0,0,0,0,56,896,0,0,0,0,0,1,0,97.00
79.00,0,0,0,0,0,0,0,0,0,0,39,368,2,0,0,0,0,1,0,96.00
79.00,0,0,0,0,0,0,0,0,0,0,39,368,2,0,0,0,0,1,0,96.00
73.00,0,0,0,0,0,0,0,0,0,0,22,346,4,0,1,0,0,1,0,92.00
193.00,0,0,0,0,0,0,0,0,0,0,76,"1,016",4,0,0,0,0,1,0,92.00
126.00,0,0,0,0,0,0,1,10,0,0,52,597,3,1,1,0,0,1,0,91.00
73.00,0,0,0,0,0,0,0,0,0,0,18,354,4,0,0,0,0,1,0,89.00
73.00,0,0,0,0,0,0,0,0,0,0,18,354,4,0,0,0,0,1,0,89.00
73.00,0,0,0,0,0,0,0,0,0,0,18,354,4,0,0,0,0,1,0,89.00
108.00,1,0,0,0,0,0,4,11,0,0,43,523,3,0,0,0,0,1,0,86.00
134.00,0,0,0,0,0,0,1,2,0,0,54,571,5,0,0,0,0,1,0,85.00
